welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,practice_trials.order
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0593,3.0593,0,48,48,13,1,Guess,0.077153982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0594,3.0594,0,49,49,43,1,Guess,0.469871004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0595,3.0595,0,50,50,77,1,Guess,0.498262622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0596,3.0596,0,51,51,66,1,Read,0.766353221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0596,3.0596,0,52,52,61,1,Guess,0.660879964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0597,3.0597,0,53,53,54,1,Read,0.948338718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0598,3.0598,0,54,54,26,1,Read,0.512063408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0598,3.0599,0,55,55,69,1,Guess,0.830019976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0599,3.0599,0,56,56,24,1,Read,0.829927133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0599,3.0599,0,57,57,0,1,Read,0.94283429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0601,3.0601,0,58,58,58,1,Read,0.212189301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0601,3.0601,0,59,59,27,1,Guess,0.120565601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0601,3.0602,0,60,60,6,1,Read,0.390969654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0603,3.0603,0,61,61,60,1,Read,0.325904178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0603,3.0603,0,62,62,16,1,Read,0.928653387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0604,3.0604,0,63,63,48,1,Read,0.877720868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0605,3.0605,0,64,64,42,1,Read,0.857880795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0605,3.0605,0,65,65,10,1,Read,0.589363561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0606,3.0606,0,66,66,32,1,Read,0.251598655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0607,3.0608,0,67,67,41,1,Guess,0.606804961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0608,3.0609,0,68,68,44,1,Read,0.936300189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0609,3.0609,0,69,69,40,1,Read,0.455778956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0609,3.0609,0,70,70,17,1,Guess,0.996842566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0611,3.0611,0,71,71,37,1,Guess,0.725094566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0612,3.0612,0,72,72,20,1,Read,0.641701983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,317810,25,männlich,2025-01-06_17h03.11.176,guess,2024.2.4,Win32,59.88023952,3.0612,3.0612,0,73,73,39,1,Guess,0.480799568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
